time (cs),x_acceleration(g)
2902,-0.002221520757302642
2904,-0.0019746851176023483
2906,-0.0007405069191008806
2908,-0.0014810138382017612
2910,-0.0012341781985014677
2912,-0.0024683563970029354
2914,-0.0019746851176023483
2916,-0.0012341781985014677
2918,-0.0009873425588011742
2920,-0.0009873425588011742
2922,-0.0012341781985014677
2924,-0.0019746851176023483
2926,-0.0014810138382017612
2928,-0.0012341781985014677
2930,-0.002221520757302642
2932,-0.0017278495943173766
2934,-0.0019746851176023483
2936,-0.0019746851176023483
2938,-0.0014810138382017612
2940,-0.0024683563970029354
2942,-0.0019746851176023483
2944,-0.0017278495943173766
2946,-0.002715192036703229
2948,-0.0014810138382017612
2950,-0.002221520757302642
2952,-0.0012341781985014677
2954,-0.0019746851176023483
2956,-0.0009873425588011742
2958,-0.0012341781985014677
2960,-0.0009873425588011742
2962,-0.0012341781985014677
2964,-0.0009873425588011742
2966,-0.0019746851176023483
2968,-0.0007405069191008806
2970,-0.0017278495943173766
2972,-0.0014810138382017612
2974,-0.002221520757302642
2976,-0.0012341781985014677
2978,-0.0019746851176023483
2980,-0.0012341781985014677
2982,-0.0019746851176023483
2984,-0.0017278495943173766
2986,-0.0009873425588011742
2988,-0.0024683563970029354
2990,-0.0014810138382017612
2992,-0.0009873425588011742
2994,-0.0017278495943173766
2996,-0.0009873425588011742
2998,-0.0017278495943173766
3000,-0.0012341781985014677
3002,-0.0009873425588011742
3004,-0.0014810138382017612
3006,-0.0012341781985014677
3008,-0.0009873425588011742
3010,-0.0017278495943173766
3012,-0.0017278495943173766
3014,-0.0014810138382017612
3016,-0.002221520757302642
3018,-0.0012341781985014677
3020,-0.0012341781985014677
3022,-0.0017278495943173766
3024,-0.0014810138382017612
3026,-0.002221520757302642
3028,-0.0012341781985014677
3030,-0.0019746851176023483
3032,-0.0017278495943173766
3034,-0.0012341781985014677
3036,-0.0014810138382017612
3038,-0.0009873425588011742
3040,-0.0012341781985014677
3042,-0.002221520757302642
3044,-0.0009873425588011742
3046,-0.0012341781985014677
3048,-0.0014810138382017612
3050,-0.0012341781985014677
3052,-0.0014810138382017612
3054,-0.0017278495943173766
3056,-0.0017278495943173766
3058,-0.0017278495943173766
3060,-0.0014810138382017612
3062,-0.0019746851176023483
3064,-0.0024683563970029354
3066,-0.0014810138382017612
3068,-0.0017278495943173766
3070,-0.0017278495943173766
3072,-0.0019746851176023483
3074,-0.0017278495943173766
3076,-0.0019746851176023483
3078,-0.0014810138382017612
3080,-0.0012341781985014677
3082,-0.0012341781985014677
3084,-0.0017278495943173766
3086,-0.0019746851176023483
3088,-0.0014810138382017612
3090,-0.0024683563970029354
3092,-0.0014810138382017612
3094,-0.0017278495943173766
3096,-0.0012341781985014677
3098,-0.0014810138382017612
3100,-0.0019746851176023483
3102,-0.0024683563970029354
3104,-0.0014810138382017612
3106,-0.0019746851176023483
3108,-0.0014810138382017612
3110,-0.0017278495943173766
3112,-0.0017278495943173766
3114,-0.0019746851176023483
3116,-0.0019746851176023483
3118,-0.00024683563970029354
3120,-0.0012341781985014677
3122,-0.0014810138382017612
3124,-0.002221520757302642
3126,-0.0014810138382017612
3128,-0.0017278495943173766
3130,-0.0019746851176023483
3132,-0.0009873425588011742
3134,-0.0014810138382017612
3136,-0.0017278495943173766
3138,-0.0017278495943173766
3140,-0.0012341781985014677
3142,-0.00024683563970029354
3144,-0.003208863316103816
3146,-0.002221520757302642
3148,-0.0009873425588011742
3150,-0.0017278495943173766
3152,-0.002221520757302642
3154,-0.0012341781985014677
3156,-0.0014810138382017612
3158,-0.002715192036703229
3160,-0.0019746851176023483
3162,-0.0012341781985014677
3164,-0.0014810138382017612
3166,-0.0019746851176023483
3168,-0.0019746851176023483
3170,-0.0007405069191008806
3172,-0.0017278495943173766
3174,-0.0012341781985014677
3176,-0.0012341781985014677
3178,-0.0012341781985014677
3180,-0.0014810138382017612
3182,-0.0017278495943173766
3184,-0.0017278495943173766
3186,-0.002221520757302642
3188,-0.0019746851176023483
3190,-0.0009873425588011742
3192,-0.0019746851176023483
3194,-0.0012341781985014677
3196,-0.0017278495943173766
3198,-0.0007405069191008806
3200,-0.0014810138382017612
3202,-0.0024683563970029354
3204,-0.0014810138382017612
3206,-0.0012341781985014677
3208,-0.0017278495943173766
3210,-0.0014810138382017612
3212,-0.0014810138382017612
3214,-0.0014810138382017612
3216,-0.0014810138382017612
3218,-0.0019746851176023483
3220,-0.0014810138382017612
3222,-0.0012341781985014677
3224,-0.0012341781985014677
3226,-0.0009873425588011742
3228,-0.0009873425588011742
3230,-0.0019746851176023483
3232,-0.0019746851176023483
3234,-0.0014810138382017612
3236,-0.0014810138382017612
3238,-0.002221520757302642
3240,-0.0019746851176023483
3242,-0.0014810138382017612
3244,-0.002715192036703229
3246,-0.0024683563970029354
3248,-0.0014810138382017612
3250,-0.0014810138382017612
3252,-0.0019746851176023483
3254,-0.0014810138382017612
3256,-0.0012341781985014677
3258,-0.0017278495943173766
3260,-0.0017278495943173766
3262,-0.0012341781985014677
3264,-0.0019746851176023483
3266,-0.0012341781985014677
3268,-0.0014810138382017612
3270,-0.0017278495943173766
3272,-0.0017278495943173766
3274,-0.0012341781985014677
3276,-0.0017278495943173766
3278,-0.002221520757302642
3280,-0.0014810138382017612
3282,-0.002221520757302642
3284,-0.0014810138382017612
3286,-0.0019746851176023483
3288,-0.0012341781985014677
3290,-0.0017278495943173766
3292,-0.0012341781985014677
3294,-0.0017278495943173766
3296,-0.0024683563970029354
3298,-0.0019746851176023483
3300,-0.0019746851176023483
3302,-0.0019746851176023483
3304,-0.0014810138382017612
3306,-0.0014810138382017612
3308,-0.0012341781985014677
3310,-0.0024683563970029354
3312,-0.002221520757302642
3314,-0.0012341781985014677
3316,-0.0009873425588011742
3318,-0.0012341781985014677
3320,-0.0019746851176023483
3322,-0.0007405069191008806
3324,-0.002715192036703229
3326,-0.0019746851176023483
3328,-0.0009873425588011742
3330,-0.0012341781985014677
3332,-0.0014810138382017612
3334,-0.0019746851176023483
3336,-0.0009873425588011742
3338,-0.0019746851176023483
3340,-0.0007405069191008806
3342,-0.0012341781985014677
3344,-0.0007405069191008806
3346,-0.0017278495943173766
3348,-0.002715192036703229
3350,-0.0019746851176023483
3352,-0.0012341781985014677
3354,-0.0017278495943173766
3356,-0.0019746851176023483
3358,-0.0014810138382017612
3360,-0.0012341781985014677
3362,-0.0017278495943173766
3364,-0.0019746851176023483
3366,-0.0014810138382017612
3368,-0.0009873425588011742
3370,-0.0014810138382017612
3372,-0.0014810138382017612
3374,-0.0019746851176023483
3376,-0.0019746851176023483
3378,-0.0019746851176023483
3380,-0.0017278495943173766
3382,-0.0009873425588011742
3384,-0.0019746851176023483
3386,-0.002221520757302642
3388,-0.0017278495943173766
3390,-0.0014810138382017612
3392,-0.0024683563970029354
3394,-0.0017278495943173766
3396,-0.0012341781985014677
3398,-0.0019746851176023483
3400,-0.0019746851176023483
3402,-0.0024683563970029354
3404,-0.0017278495943173766
3406,-0.0014810138382017612
3408,-0.0012341781985014677
3410,-0.0007405069191008806
3412,-0.0017278495943173766
3414,-0.0019746851176023483
3416,-0.002221520757302642
3418,-0.0014810138382017612
3420,-0.0017278495943173766
3422,-0.0012341781985014677
3424,-0.0017278495943173766
3426,-0.0017278495943173766
3428,-0.0017278495943173766
3430,-0.0024683563970029354
3432,-0.0009873425588011742
3434,-0.002221520757302642
3436,-0.0017278495943173766
3438,-0.0024683563970029354
3440,-0.0017278495943173766
3442,-0.00024683563970029354
3444,-0.0019746851176023483
3446,-0.0017278495943173766
3448,-0.0024683563970029354
3450,-0.0019746851176023483
3452,-0.0017278495943173766
3454,-0.0014810138382017612
3456,-0.0017278495943173766
3458,-0.0017278495943173766
3460,-0.0024683563970029354
3462,-0.0012341781985014677
3464,-0.0014810138382017612
3466,-0.0017278495943173766
3468,-0.0012341781985014677
3470,-0.0024683563970029354
3472,-0.0012341781985014677
3474,-0.0017278495943173766
3476,-0.0017278495943173766
3478,-0.0017278495943173766
3480,-0.0019746851176023483
3482,-0.0012341781985014677
3484,-0.002221520757302642
3486,-0.0012341781985014677
3488,-0.0014810138382017612
3490,-0.0019746851176023483
3492,-0.0024683563970029354
3494,-0.0014810138382017612
3496,-0.0012341781985014677
3498,-0.002221520757302642
3500,-0.0017278495943173766
3502,-0.0009873425588011742
3504,-0.0012341781985014677
3506,-0.002221520757302642
3508,-0.0014810138382017612
3510,-0.0009873425588011742
3512,-0.0019746851176023483
3514,-0.0017278495943173766
3516,-0.0014810138382017612
3518,-0.0017278495943173766
3520,-0.0017278495943173766
3522,-0.0012341781985014677
3524,-0.0012341781985014677
3526,-0.0014810138382017612
3528,-0.0014810138382017612
3530,-0.002221520757302642
3532,-0.0012341781985014677
3534,-0.0009873425588011742
3536,-0.002221520757302642
3538,-0.0017278495943173766
3540,-0.0012341781985014677
3542,-0.0017278495943173766
3544,-0.0012341781985014677
3546,-0.0017278495943173766
3548,-0.0014810138382017612
3550,-0.0019746851176023483
3552,-0.002221520757302642
3554,-0.0012341781985014677
3556,-0.0012341781985014677
3558,-0.0024683563970029354
3560,-0.0009873425588011742
3562,-0.0019746851176023483
3564,-0.002221520757302642
3566,-0.0009873425588011742
3568,-0.0019746851176023483
3570,-0.0017278495943173766
